Constituency,PAP_2020,OPP_2020
Aljunied,40.05,59.95
Ang Mo Kio,71.91,28.09
Bishan-Toa Payoh,67.23,32.77
Bukit Batok,54.8,45.2
Bukit Panjang,53.73,46.27
Chua Chu Kang,58.64,41.36
East Coast,53.39,46.61
Holland-Bukit Timah,66.36,33.64
Hong Kah North,60.99,39.01
Hougang,38.79,61.21
Jalan Besar,65.36,34.64
Jurong,74.61,25.39
Kebun Baru,62.92,37.08
MacPherson,71.74,28.26
Marine Parade,57.74,42.26
Marsiling-Yew Tee,63.18,36.82
Marymount,55.04,44.96
Mountbatten,73.82,26.18
Nee Soon,61.9,38.1
Pasir Ris-Punggol,64.16,35.84
Pioneer,62.0,38.0
Potong Pasir,60.67,39.33
Punggol West,60.98,39.02
Radin Mas,74.01,25.99
Sembawang,67.29,32.71
Sengkang,47.88,52.12
Tampines,66.41,33.59
Tanjong Pagar,63.1,36.9
West Coast,51.68,48.32
Yio Chu Kang,60.82,39.18
Yuhua,70.54,29.46
